sortNumber;code;officialTitle;mediumTitle;shortTitle;note
1623;SK0326511994;Velka nad Iplom;Velka nad Iplom;Velka nad Iplom;511994
1624;SK0326512010;Velke Dravce;Velke Dravce;Velke Dravce;512010
1625;SK0326557307;Vidina;Vidina;Vidina;557307
1626;SK0326557315;Biskupice;Biskupice;Biskupice;557315
1627;SK0326557331;Gregorova Vieska;Gregorova Vieska;Gregorova Vieska;557331
1628;SK0326557340;Trenc;Trenc;Trenc;557340
1629;SK0326558273;Bulhary;Bulhary;Bulhary;558273
1630;SK0326580309;Mikusovce;Mikusovce;Mikusovce;580309
1631;SK0327511269;Breznicka;Breznicka;Breznicka;511269
1632;SK0327511315;Cinobana;Cinobana;Cinobana;511315
1633;SK0327511340;Ceske Brezovo;Ceske Brezovo;Ceske Brezovo;511340
1634;SK0327511447;Hradiste;Hradiste;Hradiste;511447
1635;SK0327511471;Kalinovo;Kalinovo;Kalinovo;511471
1636;SK0327511498;Kokava nad Rimavicou;Kokava nad Rimavicou;Kokava nad Rimavicou;511498
1637;SK0327511501;Krna;Krna;Krna;511501
1638;SK0327511595;Malinec;Malinec;Malinec;511595
1639;SK0327511617;Mladzovo;Mladzovo;Mladzovo;511617
1640;SK0327511684;Ozdin;Ozdin;Ozdin;511684
1641;SK0327511765;Poltar;Poltar;Poltar;511765
1642;SK0327511820;Rovnany;Rovnany;Rovnany;511820
1643;SK0327511889;Soltyska;Soltyska;Soltyska;511889
1644;SK0327511978;Uhorske;Uhorske;Uhorske;511978
1645;SK0327512001;Velka Ves;Velka Ves;Velka Ves;512001
1646;SK0327514900;Hrnciarska Ves;Hrnciarska Ves;Hrnciarska Ves;514900
1647;SK0327514918;Hrnciarske Zaluzany;Hrnciarske Zaluzany;Hrnciarske Zaluzany;514918
1648;SK0327515515;Selce;Selce;Selce;515515
1649;SK0327515591;Susany;Susany;Susany;515591
1650;SK0327557323;Dubakovo;Dubakovo;Dubakovo;557323
1651;SK0327580317;Utekac;Utekac;Utekac;580317
1652;SK0327582051;Zlatno;Zlatno;Zlatno;582051
1653;SK0328514675;Drzkovce;Drzkovce;Drzkovce;514675
1654;SK0328514721;Gemer;Gemer;Gemer;514721
1655;SK0328514756;Gemerska Ves;Gemerska Ves;Gemerska Ves;514756
1656;SK0328514896;Hrlica;Hrlica;Hrlica;514896
1657;SK0328514977;Chvalova;Chvalova;Chvalova;514977
1658;SK0328515159;Levkuska;Levkuska;Levkuska;515159
1659;SK0328515256;Otrocok;Otrocok;Otrocok;515256
1660;SK0328515302;Ploske;Ploske;Ploske;515302
1661;SK0328515311;Polina;Polina;Polina;515311
1662;SK0328515361;Rasice;Rasice;Rasice;515361
1663;SK0328515370;Ratkova;Ratkova;Ratkova;515370
1664;SK0328515400;Ratkovske Bystre;Ratkovske Bystre;Ratkovske Bystre;515400
1665;SK0328515507;Rybnik;Rybnik;Rybnik;515507
1666;SK0328515523;Skeresovo;Skeresovo;Skeresovo;515523
1667;SK0328515574;Levare;Levare;Levare;515574
1668;SK0328515612;Tornala;Tornala;Tornala;515612
1669;SK0328515761;Visnove;Visnove;Visnove;515761
1670;SK0328515833;Ziar;Ziar;Ziar;515833
1671;SK0328525677;Gemerske Teplice;Gemerske Teplice;Gemerske Teplice;525677
1672;SK0328525685;Gemersky Sad;Gemersky Sad;Gemersky Sad;525685
1673;SK0328525766;Hucin;Hucin;Hucin;525766
1674;SK0328525774;Chyzne;Chyzne;Chyzne;525774
1675;SK0328525791;Jelsava;Jelsava;Jelsava;525791
1676;SK0328525812;Kamenany;Kamenany;Kamenany;525812
1677;SK0328525901;Licince;Licince;Licince;525901
1678;SK0328525928;Lubenik;Lubenik;Lubenik;525928
1679;SK0328525944;Magnezitovce;Magnezitovce;Magnezitovce;525944
1680;SK0328525987;Muran;Muran;Muran;525987
1681;SK0328525995;Muranska Dlha Luka;Muranska Dlha Luka;Muranska Dlha Luka;525995
